l9wHAQAAMAAJ, Гарри Поттер и кубок огня, J. K. Rowling
mmzhBwAAQBAJ, Гарри Поттер и философский камень - Harry Potter and the Philosopher's Stone, Дж. К. Роулинг
eNsHAQAAMAAJ, Гарри Поттер и тайная комната, J. K. Rowling
VNJnTUZ97HQC, Гарри Поттер в церкви: между анафемой и улыбкой, 
_GaYDQAAQBAJ, Как работает экономика: Что Rolling Stones, Гарри Поттер и большой спорт могут рассказать о свободном рынке, Д.Тамни
hPnEsgEACAAJ, Гарри Поттер и философский камень, Джоан К. Ролинг
6o17PQAACAAJ, Гарри Поттер и принц-полукровка, J. K. Rowling
4lrHNwAACAAJ, Гарри Поттер: волшебство бренда, Стивен Браун
9rzbBQAAQBAJ, Garre potter, J.K.Rowling
ZIvfBQAAQBAJ, Garre potter dari smerti, J.K.Rowling
